0	191
192	303
304	430
431	787
788	1380
1381	1420
1421	1492
1493	1528
1529	1548
1549	1762
1763	1821
1822	2229
2230	2270
2271	2359
2360	2552
2553	2799
2800	2907
2908	4050
4051	4577
4578	4788
4789	5445
5446	5692
5693	6506
6507	6609
6610	6704
6705	7246
7247	7383
7384	7464
7465	7593
7594	7800
7801	7875
7876	7922
7923	7944
7945	8505
8506	8575
8576	8602
8603	9139
9140	9389
9390	9583
9584	10135
10136	10218
10219	10502
10503	10620
10621	10711
10712	10834
10835	11078
11079	11417
11418	11812
11813	11866
11867	12072
12073	12083
12084	12219
12220	12330
12331	12411
12412	12432
12433	12536
12537	12610
12611	12713
12714	12944
12945	13568
13569	13612
13613	13748
13749	13787
13788	13839
13840	14054
14055	14162
14163	14200
14201	14261
14262	14461
14462	14480
14481	15038
15039	15233
15234	15251
15252	15336
15337	16142
16143	16266
16267	16311
16312	16328
16329	16389
16390	16636
16637	17443
