0	45
46	79
80	107
108	135
136	163
164	191
192	219
220	247
248	275
276	303
304	352
353	444
445	851
852	940
941	1065
1066	1203
1204	1361
1362	1370
1371	1461
1462	1594
1595	1630
1631	1662
1663	1686
1687	1722
1723	1734
1735	1796
1797	1846
1847	1905
1906	1956
1957	2002
2003	2070
2071	2126
2127	2267
2268	2317
2318	2512
2513	2620
2621	2718
2719	2988
2989	3147
3148	3467
3468	3673
3674	3744
3745	3831
3832	3873
3874	3947
3948	3998
3999	4031
4032	4066
4067	4113
4114	4141
4142	4223
4224	4256
4257	4302
4303	4358
4359	4424
4425	4496
4497	4568
4569	4597
4598	4678
4679	4715
4716	4724
4725	4754
4755	4789
4790	4940
4941	4965
4966	4998
4999	5130
5131	5175
5176	5195
5196	5263
5264	5444
5445	5641
5642	5720
5721	5783
5784	5859
5860	5878
5879	5933
5934	5970
5971	6230
6231	6495
6496	6553
6554	6637
6638	6679
6680	6875
6876	7068
7069	7111
7112	7166
7167	7355
7356	7398
7399	7459
7460	7487
7488	7507
7508	7556
7557	7613
7614	7679
7680	7742
7743	7761
7762	7836
7837	7854
7855	7943
7944	8026
8027	8100
8101	8159
8160	8203
8204	8375
8376	8432
8433	8532
8533	8613
8614	8631
8632	8676
8677	8780
8781	8800
8801	8811
8812	8901
8902	8976
8977	8988
8989	9053
9054	9099
9100	9149
9150	9227
9228	9394
9395	9470
9471	9535
9536	9603
9604	9804
9805	9820
9821	9855
9856	9880
9881	9895
9896	9938
9939	10055
10056	10145
10146	10215
10216	10337
10338	10599
10600	10632
10633	10663
10664	10977
10978	11085
11086	11104
11105	11146
11147	11259
11260	11355
11356	11456
11457	11523
11524	11560
11561	11599
11600	11781
11782	11839
11840	11904
11905	11917
11918	12010
12011	12092
12093	12287
12288	12317
12318	12347
12348	12368
12369	12541
12542	12589
12590	12681
12682	12869
12870	13017
13018	13070
13071	13176
13177	13251
13252	13572
13573	13678
13679	13771
13772	13966
13967	14158
14159	14257
14258	14368
14369	14489
14490	14539
14540	14627
14628	14691
14692	14783
14784	14812
14813	14833
14834	14945
14946	14972
14973	14993
14994	15106
15107	15166
15167	15203
15204	15326
15327	15489
15490	15566
15567	15742
15743	15901
15902	15932
15933	16061
16062	16166
16167	16218
16219	16285
16286	16365
16366	16451
16452	16520
16521	16572
16573	16619
16620	16673
16674	16783
16784	16819
16820	16855
16856	16913
16914	16935
16936	16963
16964	16979
16980	17009
17010	17107
17108	17152
17153	17233
17234	17281
17282	17434
17435	17460
17461	17552
17553	17582
17583	17625
17626	17667
17668	17761
17762	17778
17779	17803
17804	17902
17903	17981
17982	18065
18066	18128
18129	18204
18205	18253
18254	18470
18471	18619
18620	18811
18812	19013
19014	19061
19062	19210
19211	19256
19257	19360
19361	19462
19463	19636
19637	19705
19706	19734
19735	19772
19773	19828
19829	19890
19891	19944
19945	20020
20021	20084
20085	20229
20230	20294
20295	20343
20344	20393
20394	20424
20425	20474
20475	20526
20527	20542
20543	20565
20566	20599
20600	20826
20827	21027
21028	21367
21368	21385
21386	21419
21420	21428
21429	21452
21453	21479
21480	21516
21517	21540
21541	21573
21574	21588
21589	21609
21610	21627
21628	21648
21649	21675
21676	21707
21708	21878
21879	22027
22028	22054
22055	22103
22104	22201
22202	22266
22267	22318
22319	22546
22547	22629
22630	22712
22713	22767
22768	22958
22959	23061
23062	23254
23255	23448
23449	23485
23486	23641
23642	23717
23718	23764
23765	23850
23851	23872
23873	23901
23902	24024
24025	24032
24033	24620
