0	86
87	201
202	384
385	566
567	634
635	689
690	793
794	874
875	991
992	1158
1159	1239
1240	2251
2252	3483
3484	3674
3675	3694
3695	3746
3747	3856
3857	3967
3968	4057
4058	4243
4244	4410
4411	4482
4483	4560
4561	4632
4633	4860
4861	4938
4939	5014
5015	5214
5215	5291
5292	5355
5356	5462
5463	5554
5555	5620
5621	5691
5692	5801
5802	5855
5856	5908
5909	6014
6015	6378
6379	6528
6529	6971
6972	7056
7057	7153
7154	7238
7239	7414
7415	7537
7538	7678
7679	7801
7802	7883
7884	8510
8511	8927
8928	9936
9937	10029
10030	10145
10146	10199
10200	10297
10298	10411
10412	10550
10551	10635
10636	10776
10777	10879
10880	11006
11007	11184
11185	11435
11436	12235
12236	12280
12281	12357
12358	12445
12446	12502
12503	12607
12608	12696
12697	12854
12855	12970
12971	13020
13021	13097
13098	13165
13166	13256
13257	13311
13312	13401
13402	13515
13516	13561
13562	13748
13749	14124
14125	14230
14231	14335
14336	14988
14989	15874
15875	15985
15986	16111
16112	16154
16155	16174
16175	16248
16249	16387
16388	16473
16474	16558
16559	16622
16623	16742
16743	16983
16984	17077
17078	17233
17234	17400
17401	17624
17625	18086
18087	18570
18571	18785
18786	18894
18895	19151
19152	19589
19590	19655
19656	19738
19739	19829
19830	19942
19943	20036
20037	20173
20174	20281
20282	20450
